atr_multiplier,bb_period,bb_std,ema_fast,ema_slow,volume_mult,total_return,sharpe,max_dd,win_rate,profit_factor,trades,expectancy
3.0,20,3.0,10,50,1.0,-4.379554786039889,-2.6429561910520323,4.945533237481668,26.126126126126124,0.6743700405058956,334,-1.3024227391591259
1.5,20,2.0,10,50,0.8,-9.661013503709682,-7.003046763769221,9.663675943378438,24.072216649949848,0.5142786696110487,997,-0.9690083754974619
2.5,30,3.0,20,30,0.8,-3.26807622241989,-2.20746613089167,3.41218534240567,26.53061224489796,0.7244068588750233,344,-0.9492909936792673
2.0,20,2.0,20,100,1.2,-4.625542680929842,-3.302854267200679,5.034277655601542,25.6120527306968,0.6819712538692296,531,-0.8711003165592928
1.5,40,2.5,30,50,1.2,-5.4332890797398345,-5.0361515344299255,5.54542375127985,24.53531598513011,0.5440702611430924,538,-1.0099050334088961
3.0,20,2.0,30,50,0.8,-3.756330264799889,-2.245364173316681,4.590244843779474,26.861702127659576,0.7182164927888522,377,-1.0032755528590132
3.0,20,3.0,30,100,1.2,-2.349763441619934,-1.5332554575908246,3.5440367537903272,30.51643192488263,0.7586618094244051,214,-1.0832283459999688
1.5,30,3.0,10,100,1.2,-5.221502734479853,-5.265531269410007,5.387429413739974,22.943722943722943,0.5030275376198652,462,-1.1301953970735634
1.5,30,2.5,30,100,1.0,-4.274175291379838,-3.9349243574873554,4.324594878009684,26.61596958174905,0.6082070625374542,526,-0.8125808538744947
2.0,20,3.0,20,100,1.0,-3.6579243755898827,-2.972280666609203,4.0398724416500045,25.454545454545453,0.6750275715853085,385,-0.9501102274259421
2.5,40,2.5,10,100,0.8,-3.05028604286989,-2.0124832980325396,3.4285349441956643,28.77906976744186,0.7473897752851495,345,-0.8913580979127573
2.0,30,3.0,10,100,0.8,-3.8140480374498673,-3.093302001875766,4.216703188131735,24.42159383033419,0.6671207616755708,389,-0.98047507389457
3.0,30,2.0,30,100,1.0,-1.7155687630799197,-1.0565109492062974,2.746647123377847,28.46975088967972,0.8329165244818648,282,-0.6203847291031757
1.5,20,2.0,30,100,1.2,-6.1305425092898105,-5.136125402731396,6.1837270984712545,24.418604651162788,0.5692562220823578,688,-0.8910672251874703
3.0,40,2.0,30,100,1.2,-1.5827477368199214,-0.9872794611237421,2.5088085781379776,28.62595419847328,0.8374184803339337,263,-0.6102036453320321
2.5,20,2.5,20,30,0.8,-5.023571025809842,-3.108603851101665,5.197631191813644,26.195426195426197,0.6731398935071543,482,-1.0419049712494513
2.0,30,2.5,20,100,1.0,-3.439126551079869,-2.6122802717306355,3.8340701471755145,24.71395881006865,0.7150817568346428,437,-0.7869854807963086
2.5,40,3.0,10,30,0.8,-2.8862374513899036,-1.9788685159248867,3.1582225832642496,29.260450160771708,0.7447334491616641,312,-0.9241894975208704
3.0,30,3.0,30,50,1.2,-2.7695507984299286,-1.8053973245022816,3.3872136314975454,28.444444444444443,0.7198651261864519,226,-1.2255745263688569
1.5,40,2.5,20,50,0.8,-5.9697315563698155,-5.343417065369369,6.081866227909705,24.78920741989882,0.5370570922108352,593,-1.006700093822909
3.0,30,3.0,30,50,1.0,-2.5063993156599267,-1.6296336200035784,3.1690005480641417,28.888888888888886,0.7414461976144564,226,-1.1086183118044142
2.5,40,2.0,30,50,1.2,-3.8267026940198754,-2.4724452653994504,4.048256717967091,26.94300518134715,0.7081766423178043,387,-0.9955151575051517
1.5,20,2.0,30,50,1.2,-7.518335278999783,-6.03674071179559,7.571478967628374,23.368146214099216,0.5306297651697864,766,-0.9815059110965743
3.0,30,2.0,20,100,0.8,-2.9506508115999064,-1.7892565672302507,3.5894861535784126,26.726726726726728,0.7501695963335315,334,-0.8944033445345076
2.0,20,2.5,30,100,1.0,-3.730849824349855,-2.844668369555315,4.265075029152741,25.95078299776286,0.7002877321190563,447,-0.8346420188702155
2.5,20,3.0,20,100,1.2,-3.5995682269499216,-2.5818202491458395,3.838997774392014,26.190476190476193,0.6822069580949132,295,-1.2098915518060922
2.0,20,3.0,30,50,0.8,-3.9393110420998716,-3.159716762883859,4.264853460563849,25.376884422110553,0.6645039276816004,398,-0.9897766437436868
3.0,20,3.0,10,100,1.0,-3.669337012159911,-2.296801312508646,4.214819444981614,28.35820895522388,0.6817839121423325,269,-1.3533022192238486
2.5,30,3.0,20,30,1.0,-3.3519296447198905,-2.2616672572496697,3.495956423545341,27.002967359050444,0.7165020876169209,338,-0.9910746381661406
2.0,20,2.5,20,100,1.2,-3.633085373499857,-2.725148086103855,4.038795803741428,25.65217391304348,0.713662709024055,460,-0.7898011681521417
2.5,20,2.0,20,100,0.8,-4.369098409289892,-2.8063090338420453,4.654118905964359,25.952380952380956,0.686829377336751,421,-1.0440676721999753
3.0,30,2.0,10,100,0.8,-3.6216552374498745,-2.1391500556815215,4.21130077705578,26.38190954773869,0.7282016213039406,399,-0.916926523404491
1.5,40,3.0,10,100,1.2,-4.438252151299869,-4.603431918360636,4.516894195280038,25.059665871121716,0.5293622576702114,419,-1.0592487234605905
2.5,30,2.5,20,30,1.2,-4.71934170554987,-3.000499003284131,4.820242289084739,26.588235294117645,0.6730401212690917,426,-1.1141947104705605
1.5,30,2.0,10,30,1.2,-8.17163860377974,-6.113729239042659,8.222058190409516,24.553571428571427,0.5446920293777797,896,-0.9120132370289873
2.5,20,3.0,10,100,0.8,-4.5984455131698905,-3.1541865311882322,4.760217899944233,25.443786982248522,0.6435703287041834,339,-1.3479167007484927
2.5,40,2.0,20,30,1.0,-4.074380107179857,-2.5100692928249098,4.205742111563902,27.55741127348643,0.7271144503162785,480,-0.8387738929999724
1.5,30,3.0,10,30,1.2,-5.937979208689825,-5.589524178296819,6.087820106039872,24.175824175824175,0.49598550994899404,546,-1.0875419796135248
2.5,30,3.0,30,100,1.0,-2.7220636096899273,-2.062660172743279,2.90195891939212,28.39506172839506,0.7100405822065217,244,-1.1152491751398879
2.0,40,2.5,30,100,0.8,-2.10608437778988,-1.675019106352579,2.800025891047703,28.03234501347709,0.7946505335647934,371,-0.5676777298625013
3.0,20,2.5,10,100,1.2,-3.3397373045998955,-2.0187303637607337,4.065958899463727,27.018633540372672,0.7283031325340267,323,-1.0334562703415866
2.5,40,2.0,10,100,1.0,-3.466166480409859,-2.1884433848236893,3.7950124640612795,27.951807228915666,0.7422998625191543,416,-0.8390728420144269
1.5,30,2.5,10,100,1.0,-5.987198861059803,-5.12507997777096,6.037618447689892,24.564183835182252,0.5511453207546001,631,-0.9488429256830135
2.0,20,2.0,30,100,1.0,-3.783781607699847,-2.7510075963204494,4.534669853166523,25.93320235756385,0.7210781333291463,509,-0.7433755614341548
1.5,40,3.0,30,50,0.8,-4.183893251779864,-4.408935665395003,4.262535295759971,25.67237163814181,0.5372062011107875,409,-1.0229567852762542
